choire, хоровой
excruciatingly, мучительно
fondly, "любовно, нежно"
stripes, шевроны
hilarious, веселый
sour, "кислый, угрюмый"
in return, в ответ
beat down, сломить
dispute, ссора
pinch, щипать
sidewalk, тротуар
garbage, мусор
big deal, Something of great importance or consequence
regular, обычный
ribbed, "ребристый, рифленый"
just right out here, пр€мо здесь
panties, трусики
nearby, "р€дом, поблизости"
high five over, дай п€ть за
fuse, "плавить, сплавл€ть"
sweatuy, потный
sedentary, сид€чий
bond, св€зь
stop from, "преп€тствовать, предотвращать"
warewolf, оборотень
